antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'HAND WARMER SCOTTY DOG DESIGN'}),frozenset({'HAND WARMER BIRD DESIGN'}),0.1793478260869565,0.15760869565217392,0.09239130434782608,0.5151515151515151,3.2685475444096133,1.0,0.06412452741020794,1.7374320652173911,0.8457343202181534,0.37777777777777777,0.42443792766373406,0.5506792058516197
"frozenset({'HAND WARMER SCOTTY DOG DESIGN', 'HAND WARMER OWL DESIGN'})",frozenset({'HAND WARMER BIRD DESIGN'}),0.10597826086956522,0.15760869565217392,0.05434782608695652,0.5128205128205128,3.2537577365163566,1.0,0.037644730623818526,1.7291189931350113,0.7747720364741641,0.2597402597402597,0.42167080231596354,0.4288240495137047
frozenset({'RED WOOLLY HOTTIE WHITE HEART.'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.12771739130434784,0.1766304347826087,0.06521739130434782,0.5106382978723404,2.8909983633387886,1.0,0.0426586129489603,1.6825378071833648,0.7498701973001038,0.2727272727272727,0.4056597149076609,0.43993453355155476
frozenset({'KNITTED UNION FLAG HOT WATER BOTTLE'}),"frozenset({'RED WOOLLY HOTTIE WHITE HEART.', 'WHITE HANGING HEART T-LIGHT HOLDER'})",0.10869565217391304,0.06521739130434782,0.05434782608695652,0.5,7.666666666666667,1.0,0.04725897920604915,1.8695652173913044,0.9756097560975611,0.45454545454545453,0.4651162790697674,0.6666666666666667
frozenset({'SCOTTIE DOG HOT WATER BOTTLE'}),frozenset({'HAND WARMER SCOTTY DOG DESIGN'}),0.10326086956521739,0.1793478260869565,0.051630434782608696,0.5,2.787878787878788,1.0,0.033110822306238186,1.641304347826087,0.7151515151515152,0.22352941176470592,0.39072847682119205,0.3939393939393939
frozenset({'HAND WARMER RED RETROSPOT'}),frozenset({'HAND WARMER BIRD DESIGN'}),0.14130434782608695,0.15760869565217392,0.07065217391304347,0.5,3.172413793103448,1.0,0.048381379962192814,1.684782608695652,0.7974683544303798,0.3095238095238095,0.4064516129032258,0.47413793103448276
frozenset({'HAND WARMER OWL DESIGN'}),frozenset({'HAND WARMER RED RETROSPOT'}),0.16304347826086957,0.14130434782608695,0.07880434782608696,0.48333333333333334,3.420512820512821,1.0,0.055765595463138,1.6619915848527351,0.845499328257949,0.3493975903614458,0.3983122362869198,0.5205128205128206
"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS ""})",frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'}),0.16032608695652173,0.13043478260869565,0.07608695652173914,0.47457627118644075,3.638418079096046,1.0,0.05517485822306239,1.6549789621318374,0.8636153490522422,0.35443037974683544,0.3957627118644068,0.5289548022598871
frozenset({'HAND WARMER SCOTTY DOG DESIGN'}),frozenset({'HAND WARMER RED RETROSPOT'}),0.1793478260869565,0.14130434782608695,0.08423913043478261,0.4696969696969697,3.3240093240093245,1.0,0.05889650283553875,1.6192546583850933,0.8519547105319376,0.3563218390804598,0.3824319140774838,0.532925407925408
frozenset({'HAND WARMER BIRD DESIGN'}),frozenset({'HAND WARMER UNION JACK'}),0.15760869565217392,0.1983695652173913,0.07336956521739131,0.4655172413793104,2.346717052432688,1.0,0.04210479678638942,1.4998246844319776,0.6812425328554361,0.25961538461538464,0.33325540619520755,0.4176901275389703
frozenset({'HAND WARMER RED RETROSPOT'}),frozenset({'HAND WARMER UNION JACK'}),0.14130434782608695,0.1983695652173913,0.06521739130434782,0.46153846153846156,2.326659641728135,1.0,0.03718690926275993,1.4887422360248448,0.6640295358649789,0.2376237623762376,0.3282920469361148,0.3951527924130664
frozenset({'HAND WARMER SCOTTY DOG DESIGN'}),frozenset({'HAND WARMER UNION JACK'}),0.1793478260869565,0.1983695652173913,0.08152173913043478,0.4545454545454546,2.2914072229140725,1.0,0.045944588846880914,1.4696557971014492,0.6867549668874173,0.2752293577981652,0.31956856702619424,0.43275217932752186
frozenset({'HAND WARMER BIRD DESIGN'}),frozenset({'HAND WARMER RED RETROSPOT'}),0.15760869565217392,0.14130434782608695,0.07065217391304347,0.44827586206896547,3.1724137931034484,1.0,0.048381379962192814,1.5563858695652175,0.8129032258064516,0.3095238095238095,0.35748581405499774,0.47413793103448276
frozenset({'HAND WARMER OWL DESIGN'}),frozenset({'HAND WARMER UNION JACK'}),0.16304347826086957,0.1983695652173913,0.07065217391304347,0.4333333333333333,2.184474885844749,1.0,0.038309310018903586,1.4146419437340152,0.6478521478521478,0.24299065420560745,0.29310734463276833,0.3947488584474885
frozenset({'RED WOOLLY HOTTIE WHITE HEART.'}),"frozenset({'WHITE HANGING HEART T-LIGHT HOLDER', 'KNITTED UNION FLAG HOT WATER BOTTLE'})",0.12771739130434784,0.06521739130434782,0.05434782608695652,0.42553191489361697,6.524822695035461,1.0,0.04601843100189036,1.6272141706924315,0.9707165109034269,0.3921568627450979,0.38545274616526465,0.6294326241134751
frozenset({'HAND WARMER UNION JACK'}),frozenset({'HAND WARMER SCOTTY DOG DESIGN'}),0.1983695652173913,0.1793478260869565,0.08152173913043478,0.4109589041095891,2.2914072229140725,1.0,0.045944588846880914,1.3932002022244694,0.7030508474576272,0.2752293577981652,0.2822280685838702,0.43275217932752186
frozenset({'HAND WARMER RED RETROSPOT'}),"frozenset({'HAND WARMER SCOTTY DOG DESIGN', 'HAND WARMER OWL DESIGN'})",0.14130434782608695,0.10597826086956522,0.057065217391304345,0.40384615384615385,3.8106508875739644,1.0,0.04209002835538752,1.4996493688639552,0.8589511754068715,0.3,0.3331774608370353,0.47115384615384615
frozenset({'HAND WARMER UNION JACK'}),frozenset({'HAND WARMER BIRD DESIGN'}),0.1983695652173913,0.15760869565217392,0.07336956521739131,0.36986301369863017,2.346717052432688,1.0,0.04210479678638942,1.3368383742911154,0.7158819836785939,0.25961538461538464,0.2519664162615997,0.4176901275389703
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'RED WOOLLY HOTTIE WHITE HEART.'}),0.1766304347826087,0.12771739130434784,0.06521739130434782,0.3692307692307692,2.890998363338788,1.0,0.0426586129489603,1.3828870625662777,0.7944169416941693,0.2727272727272727,0.276875149772346,0.43993453355155476
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'KNITTED UNION FLAG HOT WATER BOTTLE'}),0.1766304347826087,0.10869565217391304,0.06521739130434782,0.3692307692307692,3.3969230769230765,1.0,0.04601843100189036,1.4130434782608696,0.8569856985698571,0.29629629629629634,0.2923076923076923,0.48461538461538456
frozenset({'HAND WARMER UNION JACK'}),frozenset({'HAND WARMER OWL DESIGN'}),0.1983695652173913,0.16304347826086957,0.07065217391304347,0.3561643835616438,2.184474885844749,1.0,0.038309310018903586,1.2999537465309896,0.6764015645371577,0.24299065420560745,0.23074186087884718,0.3947488584474885
frozenset({'HAND WARMER OWL DESIGN'}),"frozenset({'HAND WARMER SCOTTY DOG DESIGN', 'HAND WARMER RED RETROSPOT'})",0.16304347826086957,0.08423913043478261,0.057065217391304345,0.35,4.154838709677419,1.0,0.04333057655954631,1.4088628762541806,0.9072356215213357,0.3,0.29020771513353116,0.5137096774193548
frozenset({'HAND WARMER BIRD DESIGN'}),"frozenset({'HAND WARMER SCOTTY DOG DESIGN', 'HAND WARMER OWL DESIGN'})",0.15760869565217392,0.10597826086956522,0.05434782608695652,0.3448275862068965,3.253757736516357,1.0,0.037644730623818526,1.3645594965675059,0.822258064516129,0.2597402597402597,0.2671627711979876,0.4288240495137047
frozenset({'HAND WARMER OWL DESIGN'}),"frozenset({'HAND WARMER SCOTTY DOG DESIGN', 'HAND WARMER BIRD DESIGN'})",0.16304347826086957,0.09239130434782608,0.05434782608695652,0.3333333333333333,3.607843137254902,1.0,0.039284026465028356,1.3614130434782608,0.8636363636363636,0.27027027027027023,0.26546906187624747,0.4607843137254902
frozenset({'HAND WARMER UNION JACK'}),frozenset({'HAND WARMER RED RETROSPOT'}),0.1983695652173913,0.14130434782608695,0.06521739130434782,0.3287671232876712,2.326659641728135,1.0,0.03718690926275993,1.2792812777284828,0.7112994350282488,0.2376237623762376,0.2183110802843766,0.3951527924130664
frozenset({'HAND WARMER SCOTTY DOG DESIGN'}),"frozenset({'HAND WARMER OWL DESIGN', 'HAND WARMER RED RETROSPOT'})",0.1793478260869565,0.07880434782608696,0.057065217391304345,0.3181818181818182,4.037617554858934,1.0,0.04293182892249527,1.3510869565217392,0.9167455061494797,0.2837837837837838,0.25985518905872884,0.5211598746081504
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),"frozenset({'RED WOOLLY HOTTIE WHITE HEART.', 'KNITTED UNION FLAG HOT WATER BOTTLE'})",0.1766304347826087,0.07608695652173914,0.05434782608695652,0.30769230769230765,4.043956043956043,1.0,0.04090855387523629,1.3345410628019323,0.9141914191419142,0.273972602739726,0.25067873303167415,0.510989010989011
frozenset({'HAND WARMER SCOTTY DOG DESIGN'}),"frozenset({'HAND WARMER OWL DESIGN', 'HAND WARMER BIRD DESIGN'})",0.1793478260869565,0.08423913043478261,0.05434782608695652,0.30303030303030304,3.5972629521016617,1.0,0.039239721172022686,1.3139177693761814,0.8798013245033114,0.2597402597402597,0.2389173635464437,0.47409579667644186
